Id,Diameter[mm],Cumul_Psd
88,0.063,0.84
88,0.125,0.96
88,0.25,0.99
88,0.5,1
88,1,1
88,2,1
89,0.002,0.22
89,0.006,0.3
89,0.01,0.35
89,0.02,0.48
89,0.063,0.88
89,0.125,0.98
89,0.25,0.99
89,0.5,1
89,1,1
89,2,1
90,0.002,0.47
90,0.006,0.71
90,0.01,0.79
90,0.02,0.9
90,0.063,0.98
90,0.125,0.99
90,0.25,1
90,0.5,1
90,1,1
90,2,1
