∑T[mm],ΔT[mm],∑Pr[mm/ΔT],ΔPr[mm/ΔT],Hpond[mm],Recharge[mm/ΔT],∑WaterBalance_η[mm]
518400.0,3600.0,119.75039999999922,0.8315999999979198,0.0,0.8315999999979198,-0.0019290541991764628
522000.0,3600.0,120.58199999999921,0.8315999999999946,0.0,0.8315999999999946,-0.0019290442381978783
525600.0,3600.0,121.4135999999992,0.8315999999999946,0.0,0.8315999999999946,-0.0019290340625122326
529200.0,3600.0,122.2451999999992,0.8315999999999946,0.0,0.8315999999999946,-0.0019290236972522446
532800.0,3600.0,123.0767999999992,0.8315999999999946,0.0,0.8315999999999946,-0.0019290131671030864
536400.0,3600.0,123.90839999999919,0.8315999999999946,0.0,0.8315999999999946,-0.001929002496296598
540000.0,3600.0,124.73999999999918,0.8315999999999946,0.0,0.8315999999999946,-0.001928991708617081
543600.0,3600.0,125.57159999999918,0.8315999999999946,0.0,0.8315999999999946,-0.0019289808274050003
547200.0,3600.0,126.40319999999917,0.8315999999999946,0.0,0.8315999999999946,-0.00192896987555965
550800.0,3600.0,127.23479999999917,0.8315999999999946,0.0,0.8315999999999946,-0.0019289588755480966
554400.0,3600.0,128.06639999999916,0.8315999999999946,0.0,0.8315999999999946,-0.0019289478494088508
558000.0,3600.0,128.89800000000136,0.8316000000021972,0.0,0.8316000000021972,-0.0019289368187591607
561600.0,3600.0,129.72959999999722,0.8315999999958592,0.0,0.8315999999958592,-0.0019289258048082684
565200.0,3600.0,130.56119999999723,0.8316000000000088,0.0,0.8316000000000088,-0.0019289148283612393
568800.0,3600.0,131.39279999999724,0.8316000000000088,0.0,0.8316000000000088,-0.0019289039098329735
572400.0,3600.0,132.2244000000014,0.8316000000041583,0.0,0.8316000000041583,-0.0019288930692599657
576000.0,3600.0,133.0560000000014,0.8316000000000088,0.0,0.8316000000000088,-0.0019288823263113875
579600.0,3600.0,133.8876000000014,0.8316000000000088,0.0,0.8316000000000088,-0.0019288717003043123
583200.0,3600.0,134.71919999999727,0.8315999999958592,0.0,0.8315999999958592,-0.0019288612102174535
586800.0,3600.0,135.55080000000143,0.8316000000041583,0.0,0.8316000000041583,-0.0019288508747083554
590400.0,3600.0,136.38240000000144,0.8316000000000088,0.0,0.8316000000000088,-0.001928840712130776
594000.0,3600.0,137.21400000000145,0.8316000000000088,0.0,0.8316000000000088,-0.0019288307405486143
597600.0,3600.0,138.0455999999973,0.8315999999958592,0.0,0.8315999999958592,-0.0019288209777634105
601200.0,3600.0,138.87719999999732,0.8316000000000088,0.0,0.8316000000000088,-0.0019288114413290947
604800.0,3600.0,139.70879999999732,0.8316000000000088,0.0,0.8316000000000088,-0.0019288021485742563
608400.0,3600.0,140.54040000000148,0.8316000000041583,0.0,0.8316000000041583,-0.00192879311663066
612000.0,3600.0,141.37199999999734,0.8315999999958592,0.0,0.8315999999958592,-0.00192878436245274
615600.0,3600.0,142.20359999999735,0.8316000000000088,0.0,0.8316000000000088,-0.0019287759028479335
619200.0,3600.0,143.03519999999736,0.8316000000000088,0.0,0.8316000000000088,-0.001928767754502312
622800.0,3600.0,143.86680000000152,0.8316000000041583,0.0,0.8316000000041583,-0.0019287599340144185
626400.0,3600.0,144.69840000000153,0.8316000000000088,0.0,0.8316000000000088,-0.0019287524579212642
630000.0,3600.0,145.53000000000154,0.8316000000000088,0.0,0.8316000000000088,-0.0019287453427372665
633600.0,3600.0,146.36160000000154,0.8316000000000088,0.0,0.8316000000000088,-0.0019287386049885915
637200.0,3600.0,147.19320000000155,0.8316000000000088,0.0,0.8316000000000088,-0.0019287322612468521
640800.0,3600.0,148.02480000000156,0.8316000000000088,0.0,0.8316000000000088,-0.0019287263281769736
644400.0,3600.0,148.85640000000157,0.8316000000000088,0.0,0.8316000000000088,-0.0019287208225718575
648000.0,3600.0,149.68799999999743,0.8315999999958592,0.0,0.8315999999958592,-0.0019287157614009034
651600.0,3600.0,150.5196000000016,0.8316000000041583,0.0,0.8316000000041583,-0.0019287111618589423
655200.0,3600.0,151.3512000000016,0.8316000000000088,0.0,0.8316000000000088,-0.0019287070414115573
658800.0,3600.0,152.18279999999746,0.8315999999958592,0.0,0.8315999999958592,-0.0019287034178529304
662400.0,3600.0,153.01440000000161,0.8316000000041583,0.0,0.8316000000041583,-0.0019287003093553697
666000.0,3600.0,153.84600000000162,0.8316000000000088,0.0,0.8316000000000088,-0.0019286977345376306
669600.0,3600.0,154.67760000000163,0.8316000000000088,0.0,0.8316000000000088,-0.0019286957125145838
673200.0,3600.0,155.5091999999975,0.8315999999958592,0.0,0.8315999999958592,-0.0019286942629715164
676800.0,3600.0,156.3407999999975,0.8316000000000088,0.0,0.8316000000000088,-0.0019286934062265914
680400.0,3600.0,157.1723999999975,0.8316000000000088,0.0,0.8316000000000088,-0.0019286931632993963
684000.0,3600.0,158.00400000000167,0.8316000000041583,0.0,0.8316000000041583,-0.001928693555989297
687600.0,3600.0,158.83559999999753,0.8315999999958592,0.0,0.8315999999958592,-0.0019286946069413827
691200.0,3600.0,159.66720000000169,0.8316000000041583,0.0,0.8316000000041583,-0.0019286963397295697
694800.0,3600.0,160.49879999999754,0.8315999999958592,0.0,0.8315999999958592,-0.0019286987789253213
698400.0,3600.0,161.3304000000017,0.8316000000041583,0.0,0.8316000000041583,-0.0019287019501762147
702000.0,3600.0,162.16199999999756,0.8315999999958592,0.0,0.8315999999958592,-0.0019287058802768219
705600.0,3600.0,162.99359999999757,0.8316000000000088,0.0,0.8316000000000088,-0.0019287105972325158
709200.0,3600.0,163.82520000000173,0.8316000000041583,0.0,0.8316000000041583,-0.0019287161303174303
712800.0,3600.0,164.6567999999976,0.8315999999958592,0.0,0.8315999999958592,-0.0019287225101196472
716400.0,3600.0,165.4883999999976,0.8316000000000088,0.0,0.8316000000000088,-0.0019287297685676912
720000.0,3600.0,166.3199999999976,0.8316000000000088,0.0,0.8316000000000088,-0.0019287379389268198
723600.0,3600.0,167.15160000000176,0.8316000000041583,0.0,0.8316000000041583,-0.0019287470557637955
727200.0,3600.0,167.98320000000177,0.8316000000000088,0.0,0.8316000000000088,-0.0019287571548623475
730800.0,3600.0,168.81480000000178,0.8316000000000088,0.0,0.8316000000000088,-0.0019287682730700828
734400.0,3600.0,169.6464000000018,0.8316000000000088,0.0,0.8316000000000088,-0.001928780448058795
738000.0,3600.0,170.47799999999765,0.8315999999958592,0.0,0.8315999999958592,-0.0019287937179709104
741600.0,3600.0,171.30959999999766,0.8316000000000088,0.0,0.8316000000000088,-0.0019288081209065764
745200.0,3600.0,172.14119999999767,0.8316000000000088,0.0,0.8316000000000088,-0.001928823694213206
748800.0,3600.0,172.97280000000183,0.8316000000041583,0.0,0.8316000000041583,-0.0019288404735058262
752400.0,3600.0,173.80440000000183,0.8316000000000088,0.0,0.8316000000000088,-0.0019288584913393894
756000.0,3600.0,174.63600000000184,0.8316000000000088,0.0,0.8316000000000088,-0.0019288777754352612
759599.9670120096,3599.967012009597,175.46759237977608,0.8315923797742357,0.0,0.8315923797742357,-0.001928898349700666
763198.6898785911,3598.7228665815414,176.29889736195227,0.8313049821761922,0.0,0.8313049821761922,-0.0019289203469951307
766796.2437693761,3597.5538907849273,177.12993231072775,0.831034948775482,0.0,0.831034948775482,-0.0019289437505931345
770391.7959622751,3595.5521928990897,177.96050486728743,0.8305725565596731,0.0,0.8305725565596731,-0.0019289686139770956
773985.1265064845,3593.330544209354,178.79056422299152,0.8300593557040941,0.0,0.8300593557040941,-0.0019289949006132373
777575.7563401811,3590.6298336965892,179.61999971458374,0.8294354915922213,0.0,0.8294354915922213,-0.001929022563326484
781163.2204125344,3587.4640723533157,180.44870391529736,0.8287042007136165,0.0,0.8287042007136165,-0.0019290515070723199
784747.4593451428,3584.2389326083394,181.2766631087299,0.8279591934325481,0.0,0.8279591934325481,-0.0019290815413204618
788327.7406080468,3580.281262903916,182.10370808046073,0.8270449717308281,0.0,0.8270449717308281,-0.0019291124695160115
791904.3270264388,3576.586418391998,182.9298995431093,0.826191462648552,0.0,0.826191462648552,-0.0019291439238188562
795476.3160606747,3571.989034235932,183.7550290100178,0.8251294669085212,0.0,0.8251294669085212,-0.001929175562143977
799044.1346764374,3567.8186157626033,184.57919511025898,0.8241661002411718,0.0,0.8241661002411718,-0.0019292068588673233
802606.9945938502,3562.8599174128303,185.40221575118136,0.8230206409223797,0.0,0.8230206409223797,-0.0019292374034424627
806165.058877316,3558.064283465717,186.22412860066194,0.821912849480583,0.0,0.821912849480583,-0.001929266864306548
809717.9760127886,3552.9171354726386,187.04485245895614,0.8207238582942011,0.0,0.8207238582942011,-0.0019292953156239024
813266.1000115075,3548.123998718967,187.86446910266022,0.8196166437040802,0.0,0.8196166437040802,-0.00192932277016068
816809.0375613287,3542.93754982119,188.68288767666894,0.8184185740087173,0.0,0.8184185740087173,-0.0019293492326508202
820347.0731924719,3538.035631143157,189.500173907463,0.8172862307940534,0.0,0.8172862307940534,-0.001929374790451712
823879.8885188294,3532.8153263574804,190.3162542478516,0.816080340388595,0.0,0.816080340388595,-0.0019293993938512138
827407.7038561231,3527.815337293831,191.13117959076646,0.8149253429148757,0.0,0.8149253429148757,-0.001929423151585118
830929.7839477172,3522.0800915939926,191.94478009192468,0.8136005011582199,0.0,0.8136005011582199,-0.0019294460603470605
834446.7479425832,3516.9639948660083,192.75719877473875,0.8124186828140694,0.0,0.8124186828140694,-0.0019294681572320379
837958.3312980167,3511.58335543352,193.5683745298439,0.8111757551051539,0.0,0.8111757551051539,-0.0019294894449172417
841464.7237659765,3506.39246795975,194.37835118993436,0.8099766600904559,0.0,0.8099766600904559,-0.0019295099386786349
844965.6395851901,3500.915819213594,195.18706274417272,0.8087115542383572,0.0,0.8087115542383572,-0.0019295297026533436
848461.3048552115,3495.665270021376,195.99456142155594,0.8074986773832222,0.0,0.8074986773832222,-0.0019295486891887236
851951.3752637779,3490.0704085664393,196.80076768593477,0.8062062643788295,0.0,0.8062062643788295,-0.0019295670168852257
855435.4585510956,3484.0832873176737,197.60559092530517,0.8048232393703927,0.0,0.8048232393703927,-0.0019295846515704662
858913.7727090922,3478.3141579966864,198.4090814958024,0.8034905704972459,0.0,0.8034905704972459,-0.0019296016889060806
